Gene	gene_short_name
2610306M01Rik	2610306M01Rik
2610307P16Rik	2610307P16Rik
2610316D01Rik	2610316D01Rik
2610318N02Rik	2610318N02Rik
2610507B11Rik	2610507B11Rik
2610507I01Rik	2610507I01Rik
2610524H06Rik	2610524H06Rik
2700016F22Rik	2700016F22Rik
2700029L08Rik	2700029L08Rik
2700038G22Rik	2700038G22Rik
2700046G09Rik	2700046G09Rik
2700049A03Rik	2700049A03Rik
2700060E02Rik	2700060E02Rik
2700062C07Rik	2700062C07Rik
2700069I18Rik	2700069I18Rik
2700078F05Rik	2700078F05Rik
2700081O15Rik	2700081O15Rik
2700097O09Rik	2700097O09Rik
2700099C18Rik	2700099C18Rik
2810001G20Rik	2810001G20Rik
2810002D19Rik	2810002D19Rik
2810004N23Rik	2810004N23Rik
2810006K23Rik	2810006K23Rik
2810013P06Rik	2810013P06Rik
2810021J22Rik	2810021J22Rik
2810025M15Rik	2810025M15Rik
2810029C07Rik	2810029C07Rik
2810032G03Rik	2810032G03Rik
2810039B14Rik	2810039B14Rik
2810049E08Rik	2810049E08Rik
2810402E24Rik	2810402E24Rik
2810403A07Rik	2810403A07Rik
2810403D21Rik	2810403D21Rik
2810405F17Rik	2810405F17Rik
2810408A11Rik	2810408A11Rik
2810408I11Rik	2810408I11Rik
2810410L24Rik	2810410L24Rik
2810414N06Rik	2810414N06Rik
2810428I15Rik	2810428I15Rik
2810428J06Rik	2810428J06Rik
2810429I04Rik	2810429I04Rik
2810433D01Rik	2810433D01Rik
2810442N19Rik	2810442N19Rik
2810454H06Rik	2810454H06Rik
2810455O05Rik	2810455O05Rik
2810459M11Rik	2810459M11Rik
2810468N07Rik	2810468N07Rik
2810474O19Rik	2810474O19Rik
2900002M20Rik	2900002M20Rik
2900005J15Rik	2900005J15Rik
2900009J06Rik	2900009J06Rik
2900011O08Rik	2900011O08Rik
2900022M07Rik	2900022M07Rik
2900026A02Rik	2900026A02Rik
2900027M19Rik	2900027M19Rik
2900041M22Rik	2900041M22Rik
2900052L18Rik	2900052L18Rik
2900055J20Rik	2900055J20Rik
2900064F13Rik	2900064F13Rik
2900064K03Rik	2900064K03Rik
2900072N19Rik	2900072N19Rik
2900076A07Rik	2900076A07Rik
2900076G11Rik	2900076G11Rik
2900079G21Rik	2900079G21Rik
2900089D17Rik	2900089D17Rik
2900092N22Rik	2900092N22Rik
2900093K20Rik	2900093K20Rik
2900097C17Rik	2900097C17Rik
3000002C10Rik	3000002C10Rik
3010001F23Rik	3010001F23Rik
3010003L21Rik	3010003L21Rik
3110001I22Rik	3110001I22Rik
3110002H16Rik	3110002H16Rik
3110009E18Rik	3110009E18Rik
3110021N24Rik	3110021N24Rik
3110031N09Rik	3110031N09Rik
3110035E14Rik	3110035E14Rik
3110039M20Rik	3110039M20Rik
3110040N11Rik	3110040N11Rik
3110043O21Rik	3110043O21Rik
3110045C21Rik	3110045C21Rik
3110053B16Rik	3110053B16Rik
3110056K07Rik	3110056K07Rik
3110062M04Rik	3110062M04Rik
3110067C02Rik	3110067C02Rik
3110070M22Rik	3110070M22Rik
3110079O15Rik	3110079O15Rik
3110080E11Rik	3110080E11Rik
3110082I17Rik	3110082I17Rik
3110082J24Rik	3110082J24Rik
3110083C13Rik	3110083C13Rik
3222401L13Rik	3222401L13Rik
3300002A11Rik	3300002A11Rik
3300002I08Rik	3300002I08Rik
3632451O06Rik	3632451O06Rik
3632454L22Rik	3632454L22Rik
3830406C13Rik	3830406C13Rik
3830408C21Rik	3830408C21Rik
3930402G23Rik	3930402G23Rik
4430402I18Rik	4430402I18Rik
4631405J19Rik	4631405J19Rik
4632404H12Rik	4632404H12Rik
4632411P08Rik	4632411P08Rik
4632415L05Rik	4632415L05Rik
4632427E13Rik	4632427E13Rik
4632428C04Rik	4632428C04Rik
4731419I09Rik	4731419I09Rik
4732414G09Rik	4732414G09Rik
4732416N19Rik	4732416N19Rik
4732440D04Rik	4732440D04Rik
4732463B04Rik	4732463B04Rik
4732471J01Rik	4732471J01Rik
4732487G21Rik	4732487G21Rik
4732491K20Rik	4732491K20Rik
4732496C06Rik	4732496C06Rik
4831440E17Rik	4831440E17Rik
4833412C05Rik	4833412C05Rik
4833412K13Rik	4833412K13Rik
4833413G10Rik	4833413G10Rik
4833417C18Rik	4833417C18Rik
4833418N02Rik	4833418N02Rik
4833420G17Rik	4833420G17Rik
4833421G17Rik	4833421G17Rik
4833422C13Rik	4833422C13Rik
4833422M21Rik	4833422M21Rik
4833423E24Rik	4833423E24Rik
4833439L19Rik	4833439L19Rik
4833445I07Rik	4833445I07Rik
4921504A21Rik	4921504A21Rik
4921507P07Rik	4921507P07Rik
4921524J17Rik	4921524J17Rik
4921531C22Rik	4921531C22Rik
4921536K21Rik	4921536K21Rik
4930402H24Rik	4930402H24Rik
4930404I05Rik	4930404I05Rik
4930404N11Rik	4930404N11Rik
4930405A21Rik	4930405A21Rik
4930412C18Rik	4930412C18Rik
4930413G21Rik	4930413G21Rik
4930415F15Rik	4930415F15Rik
4930417H01Rik	4930417H01Rik
4930422M22Rik	4930422M22Rik
4930426D05Rik	4930426D05Rik
4930426I24Rik	4930426I24Rik
4930427A07Rik	4930427A07Rik
4930429F24Rik	4930429F24Rik
4930430F08Rik	4930430F08Rik
4930431P19Rik	4930431P19Rik
4930432K21Rik	4930432K21Rik
4930432L08Rik	4930432L08Rik
4930442H23Rik	4930442H23Rik
4930444P10Rik	4930444P10Rik
4930447C04Rik	4930447C04Rik
4930447M23Rik	4930447M23Rik
4930447N08Rik	4930447N08Rik
4930448E22Rik	4930448E22Rik
4930448K20Rik	4930448K20Rik
4930451G09Rik	4930451G09Rik
4930451I11Rik	4930451I11Rik
4930452B06Rik	4930452B06Rik
4930453N24Rik	4930453N24Rik
4930455G09Rik	4930455G09Rik
4930458D05Rik	4930458D05Rik
4930469G21Rik	4930469G21Rik
4930470G03Rik	4930470G03Rik
4930473A02Rik	4930473A02Rik
4930480K15Rik	4930480K15Rik
4930480K23Rik	4930480K23Rik
4930481A15Rik	4930481A15Rik
4930481B07Rik	4930481B07Rik
4930483J18Rik	4930483J18Rik
4930488L21Rik	4930488L21Rik
4930500F10Rik	4930500F10Rik
4930500L23Rik	4930500L23Rik
4930502E18Rik	4930502E18Rik
4930503L19Rik	4930503L19Rik
4930505A04Rik	4930505A04Rik
4930506C21Rik	4930506C21Rik
4930507D05Rik	4930507D05Rik
4930509G22Rik	4930509G22Rik
4930509H03Rik	4930509H03Rik
4930512B01Rik	4930512B01Rik
4930513D17Rik	4930513D17Rik
4930513N10Rik	4930513N10Rik
4930515G01Rik	4930515G01Rik
4930517J16Rik	4930517J16Rik
4930518I15Rik	4930518I15Rik
4930519F09Rik	4930519F09Rik
4930519F16Rik	4930519F16Rik
4930520O04Rik	4930520O04Rik
