Gene	Cluster	Signature
Paip2	3	Cell_Fate_2
Smim18	3	Cell_Fate_2
Zwint	3	Cell_Fate_2
Uchl3	3	Cell_Fate_2
Ube2k	3	Cell_Fate_2
Rrp1	3	Cell_Fate_2
Acat1	3	Cell_Fate_2
Zcchc17	3	Cell_Fate_2
Med19	3	Cell_Fate_2
2210016L21Rik	3	Cell_Fate_2
Ywhaz	3	Cell_Fate_2
Vdac1	3	Cell_Fate_2
Pgrmc1	3	Cell_Fate_2
Gnai1	3	Cell_Fate_2
Tagln3	3	Cell_Fate_2
Rab3b	3	Cell_Fate_2
Ctxn1	3	Cell_Fate_2
Gabarapl1	3	Cell_Fate_2
Atg12	3	Cell_Fate_2
Ctxn2	3	Cell_Fate_2
Tceal6	3	Cell_Fate_2
Zfp580	3	Cell_Fate_2
Otp	3	Cell_Fate_2
Pfn2	3	Cell_Fate_2
Rit2	3	Cell_Fate_2
Cdkn1a	3	Cell_Fate_2
Ppp1r1a	3	Cell_Fate_2
Calb2	3	Cell_Fate_2
Trappc6b	3	Cell_Fate_2
Gm5620	3	Cell_Fate_2
Gria2	4	Cell_Fate_2
Map1b	4	Cell_Fate_2
Tenm2	4	Cell_Fate_2
Atp6v1g2	4	Cell_Fate_2
Celf2	4	Cell_Fate_2
Nrp2	4	Cell_Fate_2
Foxb1	4	Cell_Fate_2
Rprm	4	Cell_Fate_2
Zfhx4	4	Cell_Fate_2
Arpp21	4	Cell_Fate_2
Chl1	4	Cell_Fate_2
Nrp1	4	Cell_Fate_2
Ankrd12	4	Cell_Fate_2
Ntm	4	Cell_Fate_2
Mapt	4	Cell_Fate_2
Apc	4	Cell_Fate_2
Sptbn1	4	Cell_Fate_2
Lhx1	4	Cell_Fate_2
Dgkb	4	Cell_Fate_2
Epha4	4	Cell_Fate_2
Cck	4	Cell_Fate_2
Tmem132a	4	Cell_Fate_2
Sox4	4	Cell_Fate_2
Nrep	4	Cell_Fate_2
Ahi1	4	Cell_Fate_2
Slc17a6	4	Cell_Fate_2
B230323A14Rik	4	Cell_Fate_2
App	4	Cell_Fate_2
Cdk5r1	4	Cell_Fate_2
Pde1c	4	Cell_Fate_2
Pgm2l1	4	Cell_Fate_2
Nefl	4	Cell_Fate_2
Onecut2	4	Cell_Fate_2
Ttc3	4	Cell_Fate_2
Epha7	4	Cell_Fate_2
Zmynd11	4	Cell_Fate_2
Trim2	4	Cell_Fate_2
Myt1l	4	Cell_Fate_2
Fam168a	4	Cell_Fate_2
St8sia2	4	Cell_Fate_2
Gabrb1	4	Cell_Fate_2
Myh10	4	Cell_Fate_2
Malat1	5	Cell_Fate_1
mt-Rnr2	5	Cell_Fate_1
mt-Nd5	5	Cell_Fate_1
mt-Cytb	5	Cell_Fate_1
mt-Nd4	5	Cell_Fate_1
Gm42418	5	Cell_Fate_1
Xist	5	Cell_Fate_1
Ccdc88a	5	Cell_Fate_1
mt-Co1	5	Cell_Fate_1
Nrxn1	5	Cell_Fate_1
Ankrd11	5	Cell_Fate_1
Son	5	Cell_Fate_1
Prpf38b	5	Cell_Fate_1
Cspp1	5	Cell_Fate_1
Agrn	5	Cell_Fate_1
Lrp1	5	Cell_Fate_1
Syne1	5	Cell_Fate_1
Cdh11	5	Cell_Fate_1
Atp2a2	5	Cell_Fate_1
Nrbp2	5	Cell_Fate_1
Tenm3	5	Cell_Fate_1
Nrcam	5	Cell_Fate_1
Ccnl2	5	Cell_Fate_1
Fry	5	Cell_Fate_1
Leng8	5	Cell_Fate_1
4930402H24Rik	5	Cell_Fate_1
Grin3a	5	Cell_Fate_1
Alcam	5	Cell_Fate_1
Gm37376	5	Cell_Fate_1
Ncan	5	Cell_Fate_1
Chd4	5	Cell_Fate_1
Dclk1	5	Cell_Fate_1
Glg1	5	Cell_Fate_1
Rbbp6	5	Cell_Fate_1
Zcchc7	5	Cell_Fate_1
Grm5	5	Cell_Fate_1
Fut9	5	Cell_Fate_1
Ntrk2	5	Cell_Fate_1
Clk1	5	Cell_Fate_1
Ptprf	5	Cell_Fate_1
Trim9	5	Cell_Fate_1
Bptf	5	Cell_Fate_1
Fasn	5	Cell_Fate_1
Kmt2c	5	Cell_Fate_1
Gm23935	5	Cell_Fate_1
Meg3	6	Cell_Fate_1
Snhg11	6	Cell_Fate_1
Pfkp	6	Cell_Fate_1
Luc7l3	6	Cell_Fate_1
Ncam1	6	Cell_Fate_1
Miat	6	Cell_Fate_1
Tia1	6	Cell_Fate_1
Arglu1	6	Cell_Fate_1
Mycbp2	6	Cell_Fate_1
Ryr3	6	Cell_Fate_1
Pcdh19	6	Cell_Fate_1
Ank3	6	Cell_Fate_1
Gprasp1	6	Cell_Fate_1
Atp11b	6	Cell_Fate_1
Pclo	6	Cell_Fate_1
Scn3a	6	Cell_Fate_1
Scn2a	6	Cell_Fate_1
Nav1	6	Cell_Fate_1
Grin2b	6	Cell_Fate_1
Zfhx3	6	Cell_Fate_1
Cwc22	6	Cell_Fate_1
L1cam	6	Cell_Fate_1
Rian	6	Cell_Fate_1
Cers4	6	Cell_Fate_1
Rbm5	6	Cell_Fate_1
Etnk1	6	Cell_Fate_1
Nrxn2	6	Cell_Fate_1
Snhg14	6	Cell_Fate_1
Kif1a	6	Cell_Fate_1
Cntn1	6	Cell_Fate_1
Cxadr	6	Cell_Fate_1
Kmt2a	6	Cell_Fate_1
Sfswap	6	Cell_Fate_1
Pou2f2	6	Cell_Fate_1
Ank2	6	Cell_Fate_1
Peg3	6	Cell_Fate_1
Cacna1b	6	Cell_Fate_1
Tspoap1	6	Cell_Fate_1
Atrx	6	Cell_Fate_1
Col11a1	6	Cell_Fate_1
Gm44560	6	Cell_Fate_1
Akap9	6	Cell_Fate_1
Adgrl1	6	Cell_Fate_1
Srsf11	6	Cell_Fate_1
Cacna2d1	6	Cell_Fate_1
Gls	6	Cell_Fate_1
Dync1h1	6	Cell_Fate_1
Hap1	6	Cell_Fate_1
Atp2b4	6	Cell_Fate_1
Slc12a5	6	Cell_Fate_1
Srcin1	6	Cell_Fate_1
Grik2	6	Cell_Fate_1
Xpr1	6	Cell_Fate_1
A230103L15Rik	6	Cell_Fate_1
Shank1	6	Cell_Fate_1
Ptprd	6	Cell_Fate_1
Camta1	6	Cell_Fate_1
Rapgef6	6	Cell_Fate_1
Map6	6	Cell_Fate_1
Ogt	6	Cell_Fate_1
Hook1	6	Cell_Fate_1
Scn1a	6	Cell_Fate_1
Synj1	6	Cell_Fate_1
Ints10	6	Cell_Fate_1
Pnn	6	Cell_Fate_1
Atp9a	6	Cell_Fate_1
Atp2b1	6	Cell_Fate_1
Cacna1e	6	Cell_Fate_1
Prrc2b	6	Cell_Fate_1
Tnrc6c	6	Cell_Fate_1
Cadps	6	Cell_Fate_1
Kidins220	6	Cell_Fate_1
Carmil3	6	Cell_Fate_1
Prrc2c	6	Cell_Fate_1
Kif5c	6	Cell_Fate_1
Plxna1	6	Cell_Fate_1
Sdc3	6	Cell_Fate_1
Sptan1	6	Cell_Fate_1
Rnpc3	6	Cell_Fate_1
Adgrl2	6	Cell_Fate_1
Tcaf1	6	Cell_Fate_1
Ryr2	6	Cell_Fate_1
Syt7	6	Cell_Fate_1
Amy1	6	Cell_Fate_1
Dst	6	Cell_Fate_1
Herc1	6	Cell_Fate_1
Plxna4	6	Cell_Fate_1
Trank1	6	Cell_Fate_1
Eml5	6	Cell_Fate_1
Cdh4	6	Cell_Fate_1
Plppr3	6	Cell_Fate_1
Csmd1	6	Cell_Fate_1
Rsrp1	6	Cell_Fate_1
Adcy1	6	Cell_Fate_1
Clip1	6	Cell_Fate_1
